"id","prefecture","place_name","street","floods","mudslides","high_tides","earthquakes","tsunami","fire","burst_pipe","volcano","lat","long"
58222,"京都府京都市","京都市立上賀茂小学校","京都府京都市北区上賀茂烏帽子ヶ垣内町1",TRUE,TRUE,,TRUE,,,TRUE,,35.05671792,135.7576444
58223,"京都府京都市","京都市立大宮小学校","京都府京都市北区大宮中ノ社町37",TRUE,TRUE,,TRUE,,,TRUE,,35.05904166,135.7462922
58224,"京都府京都市","京都市立紫竹小学校","京都府京都市北区紫竹下園生町26",TRUE,,,TRUE,,,TRUE,,35.05317639,135.7505997
58225,"京都府京都市","京都市立元町小学校","京都府京都市北区小山西元町14",TRUE,,,TRUE,,,TRUE,,35.05033593,135.7541563
58226,"京都府京都市","京都市立鳳徳小学校","京都府京都市北区紫野上鳥田町30",TRUE,,,TRUE,,,TRUE,,35.04517623,135.7522981
58227,"京都府京都市","京都市立紫明小学校","京都府京都市北区小山東大野町55",TRUE,,,TRUE,,,TRUE,,35.04305168,135.7569455
58228,"京都府京都市","京都市立紫野小学校","京都府京都市北区紫野下築山町21",TRUE,TRUE,,TRUE,,,TRUE,,35.03990958,135.7457044
58229,"京都府京都市","京都市立大将軍小学校","京都府京都市北区大将軍南一条町48-2",TRUE,,,TRUE,,,TRUE,,35.02443061,135.7284799
58230,"京都府京都市","京都市立衣笠小学校","京都府京都市北区平野宮本町19-6",TRUE,TRUE,,TRUE,,,TRUE,,35.03018619,135.7320032
58231,"京都府京都市","京都市立金閣小学校","京都府京都市北区平野上柳町61-1",TRUE,TRUE,,TRUE,,,TRUE,,35.03662166,135.7283181
58232,"京都府京都市","京都市立待鳳小学校","京都府京都市北区紫竹西北町1-3",TRUE,,,TRUE,,,TRUE,,35.04901642,135.7465148
58233,"京都府京都市","京都市立柊野小学校","京都府京都市北区上賀茂女夫岩町21",TRUE,TRUE,,TRUE,,,TRUE,,35.06952295,135.7453445
58234,"京都府京都市","京都市立加茂川中学校","京都府京都市北区紫竹上長目町5",TRUE,,,TRUE,,,TRUE,,35.05476036,135.7520072
58235,"京都府京都市","京都市立旭丘中学校","京都府京都市北区紫野東蓮台野町1",TRUE,,,TRUE,,,TRUE,,35.04681588,135.7403043
58236,"京都府京都市","京都市立衣笠中学校","京都府京都市北区衣笠衣笠山町2",TRUE,TRUE,,TRUE,,,TRUE,,35.03675104,135.7269209
58237,"京都府京都市","京都市立西賀茂中学校","京都府京都市北区西賀茂円峰2-26",TRUE,,,TRUE,,,TRUE,,35.07067641,135.7398425
58238,"京都府京都市","京都市立紫野高等学校","京都府京都市北区紫野大徳寺町22",TRUE,,,TRUE,,,TRUE,,35.04320295,135.7413378
58239,"京都府京都市","京都府立盲学校小学部・中学部","京都府京都市北区紫野大徳寺町27",TRUE,,,TRUE,,,TRUE,,35.04417277,135.7388256
58240,"京都府京都市","京都府立山城高等学校","京都府京都市北区大将軍坂田町29",TRUE,,,TRUE,,,TRUE,,35.0231198,135.7256797
58241,"京都府京都市","京都府立医科大学花園学舎","京都府京都市北区大将軍西鷹司町13-2",TRUE,,,TRUE,,,TRUE,,35.02293672,135.7276881
58242,"京都府京都市","立命館大学 京都衣笠体育館","京都府京都市北区等持院北町56-1",TRUE,TRUE,,TRUE,,,TRUE,,35.03258534,135.7243133
58243,"京都府京都市","京都産業大学","京都府京都市北区上賀茂本山",TRUE,,,TRUE,,,TRUE,,35.06883804,135.7571825
58244,"京都府京都市","大谷大学","京都府京都市北区小山上総町",TRUE,,,TRUE,,,TRUE,,35.04171572,135.7598479
58245,"京都府京都市","京都教育大学附属京都小学校","京都府京都市北区紫野東御所田町37",TRUE,TRUE,,TRUE,,,TRUE,,35.04039687,135.754519
58246,"京都府京都市","京都教育大学附属京都中学校","京都府京都市北区小山南大野町1",TRUE,TRUE,,TRUE,,,TRUE,,35.0397275,135.7552467
58247,"京都府京都市","京都市交響楽団練習場","京都府京都市出雲路立テ本町103",TRUE,,,TRUE,,,TRUE,,35.03891363,135.7645238
58248,"京都府京都市","元京都市立春日小学校","京都府京都市上京区丸太町通河原町西入高島町",TRUE,,,TRUE,,,TRUE,,35.01805243,135.7685347
58249,"京都府京都市","元京都市立西陣小学校","京都府京都市上京区上立売堀川西入幸在町689",TRUE,,,TRUE,,,TRUE,,35.03242398,135.7498184
58250,"京都府京都市","元京都市立聚楽小学校","京都府京都市上京区葭屋町通中立売下ル北俵町317",TRUE,,,TRUE,,,TRUE,,35.02441738,135.7510257
58251,"京都府京都市","元京都市立待賢小学校","京都府京都市上京区猪熊通丸太町下ル藁屋町536-1",TRUE,,,TRUE,,,TRUE,,35.01716085,135.7499786
58252,"京都府京都市","京都まなびの街生き方探究館","京都府京都市上京区西洞院通下立売下ル東裏辻町402",TRUE,,,TRUE,,,TRUE,,35.01959042,135.7545813
